shot_id_number,is_goal
1,0.36499966739073153
8,0.47986399177498285
17,0.5677761986189163
20,0.6971373065479708
22,0.37789761291011953
33,0.3883741172401136
34,0.4666361599631897
35,0.5370010937004966
36,0.49536746654490055
37,0.607247628834824
38,0.3960965505346971
45,0.46491160744343424
50,0.3678659939247365
55,0.30022393277176757
60,0.3371188005236077
62,0.3861072395158645
66,0.38974860093485275
67,0.3862456640136807
71,0.41104900781116094
72,0.3465848739921937
76,0.3444616083509871
80,0.4125546701437899
85,0.399922795245419
86,0.41568733100038363
87,0.4271146635406318
92,0.42418921586968145
95,0.49270256590689177
97,0.4146093561949688
104,0.4840349482692634
113,0.3661770491454771
122,0.8143834565191601
123,0.43321528801564574
126,0.4558345138128544
133,0.6569862859357742
134,0.3737567490939398
141,0.40860999823418703
144,0.41824556495786586
150,0.5812116625452821
152,0.42376452884905
153,0.6720671411487742
156,0.515141549667051
159,0.6992407411687737
165,0.6196233103048133
172,0.43412211189600103
182,0.7306285029211795
192,0.4043888015218529
193,0.659681406491651
196,0.4003516468450525
202,0.38587899904312795
205,0.36789774744904463
210,0.33365393883976036
211,0.4198237848162803
228,0.7854502075199422
250,0.6959373828793385
257,0.3874920171211394
260,0.4583125036522888
262,0.3730357289564722
264,0.4051470985169583
267,0.3939883576101768
279,0.6554107002436799
282,0.35427923210641105
293,0.41554154049287495
299,0.5812076964401535
300,0.4277591736376011
301,0.3731654240600511
317,0.3640147535117661
327,0.3553152617905495
328,0.37177423240092816
335,0.48764651952052784
346,0.6147701212908274
348,0.45666852291229687
360,0.32327095424353525
365,0.4127911021030189
379,0.3499613138060532
382,0.44264243864084324
390,0.601037139768117
391,0.6692371317409004
392,0.4274311394409791
397,0.3627219900167883
417,0.3501317045080781
418,0.38676013012424637
420,0.38810746951732533
428,0.3269301728052698
429,0.3012117077296893
434,0.4436586348979753
439,0.6940466020270837
440,0.37117197478609704
451,0.3514480300837455
456,0.41548007807772896
459,0.3868134160462981
472,0.41723234836827405
480,0.4546490855777497
491,0.3142075672207017
497,0.4247475612223552
509,0.3932600223704472
511,0.36893107102008316
523,0.38208486267748787
533,0.44386003918775657
544,0.49604611550531197
546,0.3680637675282177
552,0.37968103895646554
555,0.6788170555931855
558,0.2947250548012044
560,0.37977247260913505
568,0.42406646932963177
571,0.604882650034411
573,0.3897042946277299
576,0.8253973516244071
578,0.6874810872731869
591,0.43897919981908806
596,0.41097437472101295
597,0.43053905359292155
601,0.5105010081189157
605,0.42939378724661875
617,0.4075707268180167
625,0.3835822694613257
628,0.3197971183516494
634,0.4775058111398975
646,0.4385301812214066
649,0.4471784807021558
651,0.6771702631782651
654,0.7740790528094268
656,0.48111899955605864
657,0.4514589120007132
661,0.7539881100515113
669,0.39719611856983006
670,0.7875192906034443
680,0.6965449229030011
693,0.5231324899136207
694,0.3756704907460554
699,0.4327026952866198
711,0.40797446952471966
715,0.3797971123755795
718,0.38359992654357367
722,0.40467680747025914
723,0.36335498977043945
725,0.5380523390937516
734,0.40306251185455244
735,0.5154855772203305
737,0.46640969154777007
746,0.39752135621463197
747,0.4727971744607086
764,0.3745616367961369
766,0.37115574629030873
767,0.3825587374125449
771,0.39005297762494284
773,0.43432789000026056
774,0.40337863003674057
783,0.3885002188151531
784,0.37412848528923903
789,0.4021589922266631
792,0.43250040072906765
804,0.33185594375436533
809,0.35924864121336847
